Parameter	Value	Uncertainty
nu1_1	2.957e+00	8.813e+00
nu2_1	1.712e+00	4.918e+00
nu1_2	9.604e+00	3.132e+01
nu2_2	8.247e+00	2.652e+01
T0	1.990e+00	1.097e+01
T	2.831e-01	9.987e-01
m	1.376e+00	5.212e+00
mi	7.889e-02	3.111e-01
m12_2	2.710e-03	4.765e-01
m21_2	1.114e+00	2.444e+00
m12_2i	1.004e-01	9.986e-02
m21_2i	3.764e-01	9.033e-01
P	5.433e-01	5.650e-02
