Parameter	Value	Uncertainty
nu1_1	2.948	5.532e+01
nu2_1	1.616	2.166e+01
nu1_2	10.936	2.102e+02
nu2_2	3.222	5.590e+01
T0	1.929	6.842e+01
T	0.286	7.177e+00
m12_1	1.111	4.688e+01
m21_1	3.716	1.097e+02
m12_2	0.919	2.869e+01
m21_2	0.584	8.153e+00
m12_1i	0.18	3.359e+00
m21_1i	0.687	4.154e+00
m12_2i	0.026	1.132e+00
m21_2i	0.093	9.535e+00
P	0.234	1.845e+00
